x1,y1,x2,y2,score
982,83,771,117,0.80322564
987,87,775,121,0.8760037
952,90,747,122,0.80074483
894,98,699,126,0.8002603
896,107,701,134,0.8962159
969,108,761,139,0.8731937
925,115,725,143,0.9097783
939,125,737,153,0.85124123
940,134,738,161,0.80126584
897,156,702,179,0.72140265
920,158,717,276,0.6046777
944,161,913,71,0.84501266
826,163,642,181,0.8115848
952,164,748,188,0.81314814
665,167,819,101,0.65604293
716,171,544,184,0.9447432
786,173,745,203,0.61949027
918,173,611,214,0.600227
791,174,844,127,0.5316014
713,175,234,316,0.644346
797,179,616,196,0.9435062
842,181,655,200,0.90044874
715,182,542,195,0.9676352
908,183,711,204,0.9188402
917,190,719,211,0.86548585
604,191,437,199,0.91175956
557,198,32,300,0.5822826
490,199,320,202,0.9759134
609,200,442,208,0.96827704
896,203,690,411,0.7594385
527,204,913,263,0.6090272
659,204,490,214,0.9802468
786,204,607,219,0.9681495
877,207,686,225,0.9753853
584,208,962,178,0.6278097
391,209,212,207,0.9683751
603,209,435,216,0.95728093
399,210,221,209,0.94461936
682,211,512,222,0.94865483
949,213,107,380,0.7420513
370,217,188,215,0.9651922
670,218,501,228,0.960331
973,219,765,239,0.8347107
430,222,255,223,0.9587263
873,223,722,167,0.6793351
492,226,323,229,0.9510159
378,227,201,224,0.7168323
646,227,280,283,0.73646516
757,228,582,240,0.7731769
969,228,762,247,0.7080422
683,229,513,239,0.97908837
926,229,700,314,0.6811694
637,230,469,238,0.96994525
350,231,165,229,0.92878246
724,231,552,242,0.88163733
838,231,652,226,0.6376243
677,232,507,242,0.9619134
988,232,254,259,0.5546048
675,233,507,242,0.7888869
765,233,589,246,0.9184281
836,233,651,248,0.961464
925,235,726,252,0.8371142
779,237,601,250,0.9616226
802,238,621,252,0.84901506
376,239,195,238,0.9451797
940,241,971,251,0.6867675
968,241,761,259,0.7033961
902,242,707,258,0.9600701
693,244,523,253,0.71745896
709,244,538,254,0.94086057
753,244,457,306,0.66876805
810,246,348,283,0.6123207
600,247,433,254,0.99661785
644,249,476,257,0.98513454
389,251,152,313,0.6294451
458,251,286,254,0.97396374
831,251,647,265,0.8691358
594,252,427,259,0.99575925
722,252,550,262,0.9652582
268,254,68,251,0.9325787
609,255,442,263,0.93920296
351,257,506,188,0.86139953
753,259,578,270,0.9808788
796,259,616,271,0.98116785
583,261,416,268,0.9790689
914,262,717,276,0.78387105
