Index,X,Y
0,934,36
1,939,36
2,908,37
3,910,37
4,928,37
5,933,37
6,951,37
7,873,38
8,876,38
9,883,38
10,903,38
11,926,38
12,928,38
13,933,38
14,939,38
15,946,38
16,951,38
17,893,39
18,914,39
19,915,39
20,922,39
21,944,39
22,960,39
23,965,39
24,889,40
25,899,40
26,908,40
27,915,40
28,919,40
29,978,40
30,993,40
31,873,41
32,954,41
33,970,41
34,936,42
35,943,42
36,959,42
37,936,43
38,993,43
39,996,43
40,867,44
41,872,44
42,877,44
43,882,44
44,891,44
45,941,44
46,948,44
47,964,44
48,975,44
49,987,44
50,988,44
51,887,45
52,954,45
53,968,45
54,981,45
55,882,47
56,891,47
57,895,47
58,902,47
59,907,47
60,930,47
61,948,47
62,993,47
63,942,48
64,952,48
65,955,48
66,973,48
67,996,48
68,866,49
69,965,49
70,969,49
71,870,50
72,871,50
73,878,50
74,890,50
75,891,50
76,904,50
77,947,50
78,959,50
79,960,50
80,977,50
81,981,50
82,870,51
83,886,51
84,908,51
85,918,51
86,928,51
87,935,51
88,900,52
89,901,52
90,923,52
91,955,52
92,873,53
93,941,53
94,944,53
95,964,53
96,978,53
97,861,54
98,904,54
99,932,54
100,961,54
101,885,55
102,886,55
103,889,55
104,897,55
105,921,55
106,922,55
107,967,55
108,975,55
109,871,56
110,897,56
111,915,56
112,935,56
113,971,56
114,853,57
115,856,57
116,865,57
117,892,57
118,945,57
119,985,57
120,850,58
121,861,58
122,880,58
123,886,58
124,957,58
125,993,58
126,845,59
127,900,59
128,939,59
129,976,59
130,977,59
131,903,60
132,920,60
133,923,60
134,928,60
135,935,60
136,944,60
137,964,60
138,968,60
139,864,61
140,897,61
141,956,61
142,981,61
143,836,62
144,839,62
145,972,62
146,987,62
147,990,62
148,995,62
149,832,63
150,835,63
151,844,63
152,873,63
153,933,63
154,934,63
155,951,63
156,961,63
157,976,63
158,859,64
159,867,64
160,897,64
161,903,64
162,919,65
163,921,65
164,948,65
165,964,65
166,830,66
167,875,66
168,887,66
169,891,66
170,906,66
171,925,66
172,929,66
173,942,66
174,958,66
175,992,66
176,835,67
177,839,67
178,861,67
179,875,67
180,937,67
181,972,67
182,981,67
183,858,68
184,895,68
185,952,68
186,965,68
187,828,69
188,848,69
189,849,69
190,864,69
191,871,69
192,816,70
193,834,70
194,835,70
195,844,70
196,861,70
197,881,70
198,882,70
199,894,70
200,978,70
201,987,70
202,821,71
203,861,71
204,888,71
205,891,71
206,913,71
207,922,71
208,924,71
209,961,71
210,986,71
211,987,71
212,830,72
213,865,72
214,939,72
215,970,72
216,981,72
217,993,72
218,816,73
219,823,73
220,931,73
221,934,73
222,965,73
223,996,73
224,848,74
225,857,74
226,901,74
227,902,74
228,841,75
229,844,75
230,870,75
231,877,75
232,887,75
233,905,75
234,912,75
235,942,75
236,985,75
237,811,76
238,825,76
239,832,76
240,863,76
241,939,76
242,955,76
243,962,76
244,977,76
245,980,76
246,881,77
247,908,77
248,927,77
249,946,77
250,947,77
251,969,77
252,977,77
253,816,78
254,884,78
255,894,78
256,951,78
257,983,78
258,988,78
259,808,79
260,897,79
261,900,79
262,923,79
263,937,79
264,973,79
265,974,79
266,806,80
267,820,80
268,831,80
269,851,80
270,857,80
271,866,80
272,873,80
273,881,80
274,890,80
275,797,81
276,802,81
277,815,81
278,836,81
279,880,81
280,938,81
281,984,81
282,987,81
283,884,82
284,885,82
285,886,82
286,894,82
287,954,82
288,955,82
289,959,82
290,980,82
291,806,83
292,820,83
293,845,83
294,862,83
295,920,83
296,932,83
297,942,83
298,944,83
299,976,83
300,995,83
301,811,84
302,829,84
303,837,84
304,858,84
305,865,84
306,878,84
307,901,84
308,964,84
309,796,85
310,819,85
311,826,85
312,853,85
313,884,85
314,938,85
315,951,85
316,954,85
317,965,85
318,983,85
319,862,86
320,873,86
321,915,86
322,971,86
323,977,86
324,990,86
325,991,86
326,831,87
327,842,87
328,879,87
329,895,87
330,935,87
331,962,87
332,991,87
333,805,88
334,847,88
335,852,88
336,855,88
337,858,88
338,948,88
339,795,89
340,813,89
341,827,89
342,865,89
343,866,89
344,867,89
345,904,89
346,913,89
347,928,89
348,818,90
349,835,90
350,886,90
351,966,90
352,800,91
353,889,91
354,892,91
355,908,91
356,913,91
357,936,91
358,943,91
359,958,91
360,978,91
361,984,91
362,987,91
363,793,92
364,824,92
365,825,92
366,832,92
367,866,92
368,870,92
369,878,92
370,888,92
371,912,92
372,913,92
373,923,92
374,931,92
375,961,92
376,962,92
377,972,92
378,991,92
379,810,93
380,833,93
381,883,93
382,899,93
383,901,93
