Index,X,Y
0,2,747
1,287,747
2,3,681
3,292,747
4,996,113
5,239,746
6,996,104
7,3,482
8,108,636
9,3,447
10,217,736
11,268,722
12,116,519
13,67,688
14,51,574
15,195,685
16,91,692
17,117,517
18,399,746
19,230,626
20,263,738
21,198,746
22,30,487
23,280,746
24,180,725
25,378,705
26,3,530
27,136,746
28,2,703
29,3,666
30,229,708
31,787,254
32,252,660
33,255,740
34,366,679
35,996,354
36,108,640
37,886,333
38,82,746
39,982,118
40,104,400
41,3,354
42,32,614
43,86,657
44,202,599
45,3,724
46,254,659
47,3,490
48,794,250
49,419,654
50,851,279
51,480,701
52,996,345
53,337,601
54,92,746
55,169,549
56,226,710
57,150,604
58,406,746
59,393,692
60,139,597
61,234,747
62,937,334
63,3,651
64,40,689
65,242,731
66,249,399
67,363,679
68,313,667
69,194,694
70,185,486
71,230,650
72,234,609
73,279,704
74,192,719
75,3,685
76,168,553
77,53,727
78,85,536
79,113,515
80,309,665
81,192,746
82,200,601
83,42,637
84,140,747
85,195,587
86,206,609
87,98,708
88,402,694
89,135,700
90,145,747
91,245,741
92,350,691
93,172,553
94,320,746
95,820,148
96,333,746
97,393,746
98,814,159
99,91,742
100,307,743
101,197,618
102,480,708
103,887,319
104,232,611
105,212,635
106,118,746
107,282,723
108,89,403
109,147,705
110,236,739
111,80,409
112,275,541
113,140,594
114,398,740
115,846,280
116,11,469
117,12,414
118,301,682
119,112,513
120,817,146
121,3,656
122,95,701
123,283,622
124,669,309
125,95,688
126,927,338
127,997,2
128,151,609
129,394,690
130,201,595
131,27,629
132,79,678
133,949,258
134,574,746
135,359,691
136,191,590
137,408,721
138,839,175
139,257,724
140,395,739
141,30,612
142,162,628
143,572,746
144,3,623
145,160,411
146,373,706
147,125,554
148,191,731
149,60,391
150,193,729
151,238,611
152,112,702
153,996,397
154,126,704
155,212,656
156,87,595
157,914,385
158,70,529
159,109,702
160,168,634
161,217,746
162,324,699
163,125,658
164,408,723
165,227,627
166,286,623
167,352,686
168,63,532
169,212,653
170,49,561
171,213,746
172,118,695
173,122,529
174,3,632
175,3,425
176,255,690
177,209,607
178,907,337
179,244,722
180,945,331
181,56,415
182,85,746
183,64,688
184,442,745
185,51,673
186,3,586
187,3,560
188,905,153
189,25,485
190,819,176
191,147,416
192,829,266
193,359,720
194,431,333
195,26,414
196,224,414
197,373,353
198,280,545
199,184,746
200,303,736
201,3,582
202,400,381
203,100,746
204,141,740
205,278,541
206,128,703
207,285,704
208,289,743
209,40,575
210,117,666
211,108,746
212,214,543
213,313,719
214,895,112
215,276,741
216,227,745
217,30,463
218,890,335
219,57,659
220,117,729
221,333,717
222,843,135
223,9,414
224,132,703
225,124,630
226,141,616
227,997,747
228,61,521
229,926,402
230,292,702
231,9,645
232,150,621
233,121,523
234,106,701
235,997,184
236,245,696
237,338,627
238,102,691
239,153,708
240,259,740
241,182,535
242,186,531
243,932,340
244,126,746
245,165,723
246,150,409
247,93,676
248,818,152
249,85,654
250,97,460
251,336,628
252,102,619
253,342,714
254,158,562
255,311,617
256,37,467
257,209,596
258,122,619
259,241,716
260,3,379
261,968,102
262,996,367
263,247,629
264,330,684
265,213,412
266,854,303
267,895,327
268,115,695
269,79,651
270,485,687
271,160,703
272,399,641
273,286,722
274,206,593
275,134,670
276,28,724
277,944,257
278,972,332
279,912,151
280,22,686
281,126,630
282,14,627
283,440,743
284,245,400
285,258,700
286,92,439
287,102,418
288,996,334
289,113,706
290,339,340
291,69,680
292,73,637
293,395,332
294,3,643
295,145,384
296,462,733
297,62,458
298,889,118
299,893,119
300,208,730
301,475,708
302,123,617
303,94,522
304,976,138
305,94,591
306,23,648
307,190,624
308,206,566
309,198,595
310,180,536
311,122,547
312,400,300
313,3,719
314,233,621
315,383,619
316,154,631
317,48,603
318,795,254
319,137,607
320,100,697
321,196,596
322,312,664
323,573,353
324,890,386
325,3,700
326,32,491
327,113,637
328,335,625
329,245,713
330,215,654
331,44,511
332,122,538
333,72,608
334,11,681
335,372,746
336,10,460
337,105,660
338,383,612
339,194,538
340,285,617
341,832,125
342,431,367
343,922,142
344,16,688
345,334,608
346,244,710
347,84,677
348,156,496
349,335,697
350,963,140
351,116,534
352,948,143
353,249,631
354,881,321
355,181,692
356,86,627
357,3,727
358,323,565
359,6,630
360,161,684
361,183,617
362,996,427
363,84,705
364,919,335
365,844,155
366,285,606
367,254,598
368,81,402
369,2,2
370,86,563
371,135,654
372,230,728
373,377,746
374,156,738
375,147,711
376,845,152
377,261,729
378,895,119
379,25,688
380,259,727
381,81,738
382,134,705
383,949,101
384,152,746
385,358,703
386,398,692
387,905,137
388,957,143
389,41,542
390,108,525
391,161,686
392,125,618
393,262,555
394,996,126
395,222,708
396,82,674
397,123,655
398,829,141
399,102,743
400,949,256
401,90,528
402,446,373
403,56,518
404,203,566
405,41,440
406,100,419
407,130,548
408,280,717
409,268,627
410,250,718
411,925,341
412,24,663
413,258,698
414,946,102
415,88,592
416,917,335
417,3,498
418,410,335
419,134,598
420,433,332
421,123,665
422,748,255
423,54,662
424,166,624
425,39,700
426,354,689
427,545,746
428,401,303
429,292,554
430,45,486
431,183,695
432,941,258
433,68,520
434,204,592
435,123,584
436,270,594
437,990,109
438,113,529
439,199,664
440,330,569
441,149,624
442,419,651
443,3,674
444,996,186
445,103,566
446,103,442
447,603,282
448,187,536
449,89,541
450,930,410
451,103,667
452,940,325
453,191,535
454,49,564
455,179,539
456,179,534
457,83,586
458,143,671
459,131,668
460,30,683
461,26,421
462,12,627
463,992,107
464,803,279
465,180,611
466,658,307
467,271,629
468,85,511
469,206,655
470,147,383
471,292,542
472,3,615
473,26,659
474,804,246
475,918,289
476,3,568
477,291,552
478,129,656
479,125,700
480,743,254
481,32,557
482,64,738
483,521,347
484,49,700
485,996,358
486,128,426
487,100,488
488,223,593
489,242,736
490,223,704
491,123,708
492,356,734
493,329,567
494,217,597
495,488,732
496,91,406
497,902,136
498,251,493
499,244,539
500,256,731
501,110,699
502,939,331
503,151,555
504,158,713
505,126,696
506,197,576
507,369,354
508,284,391
509,69,523
510,899,113
511,137,705
512,9,742
513,133,666
514,27,468
515,222,731
516,152,626
517,123,479
518,666,309
519,492,737
520,136,652
521,310,568
522,909,118
523,9,464
524,185,534
525,945,406
526,132,612
527,34,539
528,146,594
529,82,508
530,83,443
531,907,147
532,895,116
533,212,569
534,132,621
535,382,693
536,82,734
537,199,684
538,54,412
539,919,391
540,265,558
541,13,742
542,153,650
543,98,655
544,159,609
545,892,113
546,840,282
547,201,615
548,9,706
549,944,334
550,972,140
551,131,556
552,284,534
553,355,740
554,956,138
555,40,539
556,188,489
557,519,348
558,560,719
559,171,344
560,996,145
561,981,415
562,105,669
563,20,702
564,983,417
565,865,121
566,81,553
567,61,676
568,138,463
569,453,732
570,534,314
571,282,390
572,321,594
573,83,399
574,246,575
575,146,699
576,111,407
577,139,713
578,80,587
579,249,592
580,451,746
581,249,391
582,70,538
583,71,650
584,14,624
585,220,412
586,95,665
587,199,585
588,77,611
589,198,475
590,487,735
591,947,105
592,37,550
593,178,621
594,119,618
595,91,735
596,90,613
597,851,135
598,110,696
599,585,362
600,45,516
601,90,704
602,95,696
603,224,650
604,911,156
605,936,331
606,842,333
607,92,560
608,894,142
609,13,555
610,77,403
611,88,565
612,136,663
613,884,308
614,37,538
615,413,654
616,77,400
617,157,702
618,924,289
619,21,694
620,56,672
621,954,324
622,105,418
623,349,634
624,3,638
625,21,615
626,16,520
627,905,115
628,399,686
629,997,189
630,874,289
631,69,397
632,205,599
633,281,602
634,245,638
635,909,107
636,131,619
637,355,638
638,205,546
639,50,718
640,170,567
641,7,679
642,334,602
643,305,369
644,170,647
645,222,699
646,886,106
647,547,745
648,75,461
649,21,424
650,325,567
651,80,638
652,73,717
653,173,610
654,201,534
655,310,740
656,247,724
657,961,348
658,868,178
659,944,399
660,838,270
661,202,660
662,882,114
663,317,719
664,924,287
665,261,538
666,119,615
667,476,327
668,6,547
669,70,494
670,120,727
671,139,414
672,64,563
673,775,223
674,84,695
675,265,565
676,68,495
677,94,644
678,383,615
679,8,550
680,221,689
681,3,710
682,172,691
683,303,573
684,189,619
685,139,609
686,39,488
687,206,516
688,351,380
689,67,645
690,231,425
691,343,403
692,122,609
693,96,648
694,324,611
695,105,563
696,48,639
697,50,640
698,49,659
699,66,536
700,152,628
701,110,444
702,59,518
703,321,696
704,175,595
705,465,738
706,6,627
707,16,467
708,333,706
709,96,735
710,996,78
711,255,496
712,357,639
713,103,414
714,184,538
715,226,642
716,55,442
717,63,455
718,5,715
719,835,134
720,100,713
721,937,350
722,65,616
723,214,645
724,845,316
725,820,143
726,289,550
727,256,625
728,106,706
729,273,746
730,883,350
731,928,165
732,919,394
733,173,502
734,76,544
735,109,545
736,156,608
737,113,746
738,327,735
739,82,592
740,171,649
741,87,527
742,316,592
743,102,657
744,193,582
745,129,596
746,408,705
747,892,143
748,81,611
749,100,655
750,16,581
751,110,669
752,957,268
753,255,410
754,141,626
755,250,696
756,98,563
757,943,375
758,35,523
759,98,649
760,71,484
761,33,683
762,3,507
763,113,673
764,331,705
765,907,113
766,99,437
767,8,575
768,73,577
769,309,643
770,463,711
771,33,541
772,261,684
773,199,637
774,220,687
775,115,673
776,117,632
777,148,696
778,63,411
779,368,704
780,160,707
781,90,571
782,372,654
783,261,734
784,37,685
785,286,532
786,3,565
