Index,X,Y
0,2,747
1,2,429
2,996,380
3,3,645
4,2,427
5,547,746
6,3,355
7,997,747
8,3,358
9,3,269
10,772,149
11,70,746
12,42,746
13,319,746
14,609,266
15,846,374
16,14,666
17,189,736
18,695,340
19,239,678
20,663,291
21,178,709
22,147,628
23,39,702
24,996,434
25,306,720
26,3,734
27,985,435
28,845,377
29,66,746
30,208,720
31,99,746
32,305,727
33,84,656
34,614,262
35,25,648
36,996,426
37,157,724
38,115,702
39,101,746
40,786,139
41,43,701
42,14,428
43,11,667
44,218,721
45,660,291
46,74,567
47,80,571
48,173,710
49,46,631
50,209,717
51,257,339
52,136,746
53,99,720
54,27,743
55,45,411
56,8,427
57,12,692
58,736,342
59,718,388
60,111,701
61,81,656
62,694,328
63,923,402
64,636,194
65,174,707
66,20,646
67,3,620
68,126,735
69,997,2
70,192,360
71,636,169
72,118,746
73,935,234
74,17,648
75,148,656
76,695,144
77,57,584
78,501,317
79,84,744
80,36,670
81,631,179
82,46,746
83,653,194
84,729,345
85,78,746
86,161,718
87,183,738
88,35,667
89,311,705
90,131,590
91,779,139
92,3,351
93,199,643
94,222,389
95,195,723
96,215,723
97,168,723
98,3,577
99,930,232
100,134,719
101,741,272
102,2,2
103,698,144
104,3,348
105,709,177
106,181,739
107,3,659
108,234,340
109,132,746
110,162,722
111,783,210
112,760,133
113,218,666
114,823,409
115,260,338
116,40,734
117,634,172
118,153,346
119,909,403
120,87,401
121,712,344
122,79,634
123,871,158
124,113,699
125,218,338
126,223,304
127,258,374
128,752,170
129,220,665
130,35,567
131,3,434
132,715,175
133,987,437
134,714,179
135,45,402
136,143,636
137,407,360
138,46,707
139,39,412
140,634,167
141,115,648
142,3,594
143,78,567
144,797,359
145,840,187
146,187,361
147,160,663
148,115,595
149,224,307
150,213,720
151,690,329
152,199,636
153,3,402
154,700,139
155,728,404
156,169,668
157,240,674
158,41,667
159,130,737
160,42,586
161,145,657
162,65,400
163,95,568
164,644,278
165,66,626
166,756,168
167,95,580
168,139,594
169,968,386
170,233,678
171,920,246
172,777,141
173,167,667
174,984,746
175,157,718
176,7,629
177,43,742
178,711,173
179,765,340
180,62,663
181,187,746
182,615,266
183,900,253
184,61,594
185,166,737
186,766,167
187,887,235
188,274,381
189,3,629
190,142,656
191,60,616
192,4,693
193,299,729
194,85,401
195,85,638
196,158,414
197,330,746
198,74,744
199,827,369
200,644,162
201,121,738
202,390,729
203,53,541
204,732,347
205,133,742
206,790,144
207,987,369
208,41,409
209,42,736
210,35,678
211,657,175
212,3,685
213,788,419
214,3,633
215,875,291
216,933,237
217,32,677
218,8,683
219,916,245
220,20,554
221,91,576
222,143,654
223,94,623
224,51,423
225,93,578
226,744,170
227,66,413
228,656,158
229,128,622
230,43,577
231,756,354
232,25,602
233,835,423
234,40,669
235,724,344
236,746,274
237,966,387
238,666,313
239,256,746
240,911,381
241,139,732
242,354,353
243,910,248
244,220,742
245,3,563
246,859,370
247,743,134
248,736,339
249,855,377
250,72,398
251,19,746
252,725,299
253,569,265
254,41,630
255,726,301
256,573,266
257,932,230
258,3,538
259,910,399
260,83,650
261,788,162
262,899,400
263,38,607
264,795,202
265,898,397
266,852,167
267,47,549
268,813,425
269,722,343
270,131,640
271,721,301
272,8,705
273,367,320
274,62,619
275,304,745
276,146,641
277,920,227
278,186,743
279,744,132
280,701,142
281,647,147
282,996,65
283,38,740
284,399,746
285,187,681
286,29,641
287,490,315
288,996,368
289,44,610
290,861,371
291,167,389
292,50,726
293,862,380
294,49,651
295,107,600
296,79,631
297,689,140
298,904,419
299,990,369
300,18,514
301,756,359
302,58,646
303,59,618
304,737,356
305,188,675
306,742,342
307,826,379
308,124,596
309,436,289
310,919,229
311,743,339
312,57,565
313,186,674
314,892,389
315,216,713
316,112,378
317,136,743
318,45,578
319,419,368
320,497,317
321,27,566
322,746,271
323,51,733
324,884,403
325,101,585
326,790,371
327,751,166
328,71,565
329,788,368
330,84,559
331,752,410
332,224,733
333,727,349
334,27,604
335,722,393
336,718,345
337,275,384
